;Definition;Type;Example;synonyms
spate;"A spate of things, especially unpleasant things, is a large number of them that happen or appear within a short period of time.
";countable noun; ...the recent spate of attacks on horses.;series,sequence,course,chain,
overflowing;"very full; almost filled over capacity
";adjective;They threw the rind of their melons in the direction of an overflowing waste bin.;
torrent;"A torrent is a lot of water falling or flowing rapidly or violently.
";countable noun; Torrents of water gushed into the reservoir.;downpour,flood,shower,deluge,outburst,stream,barrage,hail,
premier;"The leader of the government of a country is sometimes referred to as the country's premier.
";countable noun; ...the country's premier opera company.;chief,leading,top,first,
unfinished;"If you describe something such as a work of art or a piece of work as unfinished, you mean that it is not complete, for example because it was abandoned or there was no time to complete it.
";adjective; ...Jane Austen's unfinished novel.;incomplete,lacking,
impropriety;"Impropriety is improper behaviour.
";variable noun; He resigned amid allegations of financial impropriety.;lapse,mistake,slip,blunder,
reluctant;"If you are reluctant to do something, you are unwilling to do it and hesitate before doing it, or do it slowly and without enthusiasm.
";adjective; Mr Spero was reluctant to ask for help.;unwilling,slow,backward,grudging,dislike,loathing,distaste,
loath;"If you are loath to do something, you do not want to do it.
";adjective; She is loath to give up her hard-earned liberty.;unwilling,against,opposed,counter,
tuneful;"A piece of music that is tuneful has a pleasant tune.
";adjective;A song to make them sound tuneful?;melodious,musical,pleasant,harmonious,
validity;"The validity of something such as a result or a piece of information is whether it can be trusted or believed.
";uncountable noun;" Shocked by the results of the elections, they now want to challenge the validity
of the vote.";legality,authority,right,
verity;"The verities of something are all the things that are believed to be true about it.
";countable noun; ...some verities of human nature.;fact,truth,reality,
attainment;"The attainment of an aim is the achieving of it.
";uncountable noun; ...the attainment of independence.;achievement,winning,skill,art,ability,talent,
reminisce;"If you reminisce about something from your past, you write or talk about it, often with pleasure.
";verb; Ray and I ate our meal and reminisced about the trip.;recall,remember,
triumphant;"Someone who is triumphant has gained a victory or succeeded in something and feels very happy about it.
";adjective; Duncan and his triumphant soldiers celebrate their military victory.;
victorious;"You use victorious to describe someone who has won a victory in a struggle, war, or competition.
";adjective; It has been a season in which he has been on the victorious side just three times.;winning,successful,triumphant,first,
unequalled;"If you describe something as unequalled, you mean that it is greater, better, or more extreme than anything else of the same kind.
";adjective; This record figure was unequalled for 13 years.;incomparable,supreme,unparalleled,paramount,
unprecedented;"If something is unprecedented, it has never happened before.
";adjective; Such a move is rare, but not unprecedented.;unparalleled,exceptional,new,extraordinary,amazing,remarkable,outstanding,
regain;"If you regain something that you have lost, you get it back again.
";verb; Troops have regained control of the city.;recover,retrieve,redeem,
repossess;"If your car or house is repossessed, the people who supplied it take it back because they are still owed money for it.
";verb; His car was repossessed by the company.;
redeem;"If you redeem yourself or your reputation, you do something that makes people have a good opinion of you again after you have behaved or performed badly.
";verb; He had realized the mistake he had made and wanted to redeem himself.;reinstate,vindicate,absolve,offset,clear,square,honour,recover,regain,retrieve,save,free,deliver,rescue,
junk;"Junk is old and used goods that have little value and that you do not want any more.
";uncountable noun; Rose finds her furniture in junk shops.;rubbish,refuse,waste,scrap,drop,remove,reject,
resurgence;"If there is a resurgence of an attitude or activity, it reappears and grows.
";singular noun; Police say criminals are behind the resurgence of violence.;revival,return,resurrection,
left-winger;"A left-winger is a person whose political beliefs are close to socialism, or closer to them than most of the other people in the same group or party.
";countable noun; We were accused of being militant left-wingers.;socialist,communist,
demeaning;"Something that is demeaning makes people have less respect for the person who is treated in that way, or who does that thing.
";adjective; ...demeaning sexist comments.;humiliating,degrading,disgraceful,shameful,
humiliating;"If something is humiliating, it embarrasses you and makes you feel ashamed and stupid.
";adjective; The Party leader suffered a humiliating defeat.;embarrassing,
degenerate;"If you say that someone or something degenerates, you mean that they become worse in some way, for example weaker, lower in quality, or more dangerous.
";verb; Inactivity can make your joints stiff, and the bones may begin to degenerate.;decline,slip,sink,decrease,decline,dissolution,descent,depraved,base,corrupt,fallen,pervert,deviant,profligate,libertine,
atrophy;"If a muscle or other part of the body atrophies, it decreases in size or strength, often as a result of an illness.
";verb; Scott's muscle atrophied, his leg became stunted, and he was left lame.;waste,shrink,diminish,decline,waste,fade,shrink,
curdle;"If milk or eggs curdle or if you curdle them, they separate into different bits.
";verb; The sauce should not boil or the egg yolk will curdle.;congeal,clot,thicken,condense,
coalesce;"If two or more things coalesce, they come together and form a larger group or system.
";verb; Cities, if unrestricted, tend to coalesce into bigger and bigger conurbations.;blend,unite,mix,combine,
reverberation;"Reverberations are serious effects that follow a sudden, dramatic event.
";countable noun; The move by these two colleges is sending reverberations through higher education.;echo,resounding,
on purpose;"If you do something on purpose, you do it intentionally.
";phrase; Was it an accident or did David do it on purpose?;purposely,
emphatically;"If you say something emphatically, you say it in a forceful way which shows that you feel very strongly about what you are saying.
";adverb; 'No fast food,' she said emphatically.;earnestly,
measured;"You use measured to describe something that is careful and deliberate.
";adjective; The men spoke in soft, measured tones.;steady,even,slow,regular,
stigma;"If something has a stigma attached to it, people think it is something to be ashamed of.
";variable noun; There's no stigma attached to being an unmarried mother any more.;
stammer;"If you stammer, you speak with difficulty, hesitating and repeating words or sounds.
";verb; Five per cent of children stammer at some point.;stutter,falter,pause,stutter,
banishment;"Banishment is the act of banishing someone or the state of being banished.
";uncountable noun; ...banishment to 'Devil's Island'.;expulsion,exile,dismissal,removal,
eviction;"Eviction is the act or process of officially forcing someone to leave a house or piece of land.
";variable noun; He was facing eviction, along with his wife and family.;expulsion,removal,clearance,
runaway;"You use runaway to describe a situation in which something increases or develops very quickly and cannot be controlled.
";adjective; Our Grand Sale in June was a runaway success.;fugitive,refugee,deserter,uncontrolled,
disparage;"If you disparage someone or something, you speak about them in a way which shows that you do not have a good opinion of them.
";verb; Many people will disparage what you are trying to achieve.;dismiss,criticize,
brutalize;"If an unpleasant experience brutalizes someone, it makes them cruel or violent.
";verb; He was brutalized by the experience of being in prison.;
tantamount;"If you say that one thing is tantamount to a second, more serious thing, you are emphasizing how bad, unacceptable, or unfortunate the first thing is by comparing it to the second.
";adjective; What Bracey is saying is tantamount to heresy.;
unwind;"When you unwind, you relax after you have done something that makes you tense or tired.
";verb; It helps them to unwind after a busy day at work.;relax,wind down,slow down,unravel,undo,slacken,
reprieve;"If someone who has been sentenced in a court is reprieved, their punishment is officially delayed or cancelled.
";verb; Fourteen people on death row for murder have been reprieved.;
long-lasting;"Something that is long-lasting lasts for a long time.
";adjective; One of the long-lasting effects of the infection is damage to a valve in the heart.;enduring,lasting,continuing,remaining,
abolition;"The abolition of something such as a system or practice is its formal ending.
";uncountable noun; ...the abolition of slavery in Brazil and the Caribbean.;ending,end,withdrawal,
admonitory;" admonishing; warning";adjective; Helen entered in time to retrieve, wipe clean, and re-insert it - with an admonitory look - the instant before Nurse Manning turned.;
occupant;"The occupants of a building or room are the people who live or work there.
";countable noun; Most of the occupants had left before the fire broke out.;occupier,resident,tenant,
answerable;"If you are answerable to someone, you have to report to them and explain your actions.
";adjective; Councils should be answerable to the people who elect them.;
amenable;"If you are amenable to something, you are willing to do it or accept it.
";adjective; Mazarin had been amenable to the idea. ;receptive,open,susceptible,responsive,
resumption;"the act of resuming or beginning again
";noun;Yemen's forgotten war is a resumption of a decades-old conflict between the north and south of the country.;
edit;"If you edit a text such as an article or a book, you correct and adapt it so that it is suitable for publishing.
";verb;" The majority of contracts give the publisher the right to edit a book after it's
done.";revise,check,improve,correct,control,direct,
narration;the act or process of narrating;noun;Their instantly recognisable voices make their own narration of their new books utterly irresistible.;
uprising;"When there is an uprising, a group of people start fighting against the people who are in power in their country, because they want to bring about a political change.
";countable noun; ...a popular uprising against the authoritarian government.;rebellion,revolution,outbreak,
masterstroke;"A masterstroke is something you do which is unexpected but very clever and which helps you to achieve something.
";countable noun; The company played a masterstroke in promoting her to be director of innovation.;victory,triumph,coup,
profusion;"If there is a profusion of something or if it occurs in profusion, there is a very large quantity or variety of it.
";singular noun; The Dart is a delightful river with a profusion of wild flowers along its banks.;abundance,wealth,excess,quantity,
delectable;"If you describe something, especially food or drink, as delectable, you mean that it is very pleasant.
";adjective; ...delectable desserts, cakes and puddings. ;
tasty;"If you say that food, especially savoury food, is tasty, you mean that it has a fairly strong and pleasant flavour which makes it good to eat.
";adjective; Try this tasty dish for supper with a crispy salad.;delicious,luscious,palatable,delectable,
luscious;"If you describe a person or something about them as luscious, you mean that you find them or this thing sexually attractive.
";adjective; ...a luscious young blonde.;
fecund;"Land or soil that is fecund is able to support the growth of a large number of strong healthy plants.
";adjective; The pampas are still among the most fecund lands in the world.;fertility,creativity,
flowering;"The flowering of something such as an idea or artistic style is the development of its popularity and success.
";uncountable noun; He is happy with the flowering of new thinking, but he hasn't contributed to it himself.;development,flourishing,blooming,
fecundity;" fertility; fruitfulness
";noun;Not their beauty, not their particularity, just their smothering, deafening fecundity.;
ramp;"A ramp is a sloping surface between two places that are at different levels.
";countable noun; Lillian was coming down the ramp from the museum.;slope,grade,incline,gradient,
ascension;"In some religions, when someone goes to heaven, you can refer to their ascension to heaven.
";singular noun; ...the crucifixion, resurrection and ascension of Jesus Christ.;rise,climb,succession,assumption,inheritance,
maverick;"If you describe someone as a maverick, you mean that they are unconventional and independent, and do not think or behave in the same way as other people.
";countable noun; He was too much of a maverick ever to hold high office.;rebel,radical,dissenter,individualist,
dissent;"Dissent is strong disagreement or dissatisfaction with a decision or opinion, especially one that is supported by most people or by people in authority.
";uncountable noun; He is the toughest military ruler yet and has responded harshly to any dissent.;disagreement,opposition,protest,resistance,disagree,object,disapprove,demur,
insurrection;"An insurrection is violent action that is taken by a large group of people against the rulers of their country, usually in order to remove them from office.
";variable noun; They were plotting to stage an armed insurrection.;rebellion,revolution,riot,
dazed;"If someone is dazed, they are confused and unable to think clearly, often because of shock or a blow to the head.
";adjective; At the end of the interview I was dazed and exhausted.;stunned,confused,staggered,
staggered; shocked, overwhelmed, or astounded;adjective;And with the rugby union team you are left simply staggered.;
devastated;"If you are devastated by something, you are very shocked and upset by it.
";adjective; Bishop Daly said he was devastated by news of the Cardinal's death.;shattered,stunned,overcome,
stupefy;"If something stupefies you, it shocks or surprises you so much that you cannot think properly for a while.
";verb; ...a violent slap on the side of the head, which stunned and stupefied him.;astound,shock,amaze,astonish,
thumping;" Thumping is used to emphasize that something is very great or severe.
";adjective; The Right has a thumping majority.;huge,massive,enormous,great,
guffaw;"A guffaw is a very loud laugh.
";countable noun; He bursts into a loud guffaw.;laugh,laugh,
hoot;"If you hoot the horn on a vehicle or if it hoots, it makes a loud noise on one note.
";verb; I never hoot my horn when I pick a girl up for a date.;sound,blast,blare,shout,cry,yell,scream,cry,call,screech,
perfectionist;"Someone who is a perfectionist refuses to do or accept anything that is not as good as it could possibly be.
";countable noun;He was a perfectionist: no other hand but his could be put to the tasks of nailing and planing and staining.;stickler,purist,
unworkable;"If you describe something such as a plan, law, or system as unworkable, you believe that it cannot be successful.
";adjective; There is the strong possibility that such cooperation will prove unworkable.;impracticable,impossible,
idealist;"a person who cherishes or pursues high or noble principles, purposes, goals, etc
";noun;He wasn't widely known among his pals as an idealist or a law enforcer, but he must have had something there.;
dreamer;"If you describe someone as a dreamer, you mean that they spend a lot of time thinking about and planning for things that they would like to happen but which are improbable or impractical.
";countable noun; Far from being a dreamer, she's a level-headed pragmatist.;idealist,visionary,
pretentious;"If you say that someone or something is pretentious, you mean that they try to seem important or significant, but you do not think that they are.
";adjective; His response was full of pretentious nonsense.;affected,mannered,exaggerated,pompous,
bumpy;"A bumpy road or path has a lot of bumps on it.
";adjective; ...bumpy cobbled streets.;uneven,rough,pitted,irregular,bouncy,choppy,
unsteady;"If you are unsteady, you have difficulty doing something, for example walking, because you cannot completely control your legs or your body.
";adjective; The boy was very unsteady and had staggered around when he got up.;erratic,unpredictable,volatile,unsettled,unstable,shaky,insecure,unsafe,
fitful;"Something that is fitful happens for irregular periods of time or occurs at irregular times, rather than being continuous.
";adjective; Colin drifted off into a fitful sleep.;irregular,broken,disturbed,erratic,on and off,
unequal;"An unequal system or situation is unfair because it gives more power or privileges to one person or group of people than to others.
";adjective; This country still had a deeply oppressive, unequal and divisive political system.;disproportionate,uneven,unbalanced,unfair,
stony;"Stony ground is rough and contains a lot of stones.
";adjective; The steep, stony ground is well drained.;rocky,rough,gritty,gravelly,
craggy;"A craggy cliff or mountain is steep and rocky.
";adjective; ...tiny villages on craggy cliffs.;rugged,lined,weathered,
weathered; affected by exposure to the action of the weather;adjective;His hair is slightly styled and swept back from his weathered face.;
uncompromising;"If you describe someone as uncompromising, you mean that they are determined not to change their opinions or aims in any way.
";adjective; She was a tough and uncompromising politician.;inflexible,strict,rigid,decided,unrelenting,ruthless,relentless,tough,
indefinite;"If you describe a situation or period as indefinite, you mean that people have not decided when it will end.
";adjective; The trial was adjourned for an indefinite period.;uncertain,general,vague,unclear,unclear,unknown,uncertain,obscure,
globular;"A globular object is shaped like a ball.
";adjective; The globular seed capsule contains numerous small seeds.;spherical,round,
rotund;"If someone is rotund, they are round and fat.
";adjective; A rotund, smiling, red-faced gentleman appeared.;plump,rounded,heavy,fat,
accustomed;"If you are  accustomed to something, you know it so well or have experienced it so often that it seems natural, unsurprising, or easy to deal with.
";adjective; I was accustomed to being the only child at a table full of adults.;used,familiar,disciplined,usual,established,expected,general,
habitual;"A habitual action, state, or way of behaving is one that someone usually does or has, especially one that is considered to be typical or characteristic of them.
";adjective; He soon recovered his habitual geniality.;customary,normal,usual,common,
rasp;"If someone rasps, their voice or breathing is harsh and unpleasant to listen to.
";verb; 'Where've you put it?' he rasped.;croak,squawk,
mince;"Mince is meat which has been cut into very small pieces using a machine.
";uncountable noun; Brown the mince in a frying pan.;cut,grind,crumble,
triturate;"to grind or rub into a fine powder or pulp; masticate";verb;;
syllabus;"You can refer to the subjects that are studied in a particular course as the syllabus.
";countable noun; ...the GCSE history syllabus.;
commute;"If you commute, you travel a long distance every day between your home and your place of work.
";verb; Mike commutes to London every day.;travel,passenger,reduce,cut,modify,shorten,
extort;"If someone extorts money from you, they get it from you using force, threats, or other unfair or illegal means.
";verb; Corrupt government officials were extorting money from him.;extract,force,squeeze,exact,
affecting;"If you describe something such as a story or a piece of music as affecting, you think it is good because it makes you feel a strong emotion, especially sadness or pity.
";adjective; ...an affecting drama about a woman with a terminal illness.;touching,sad,pathetic,
make haste;"If someone is told to make haste, they are told to do something quickly and not waste time.
";phrase; As Simon was under orders to make haste, some days they covered thirty miles.;hasten,
hasten;"If you hasten an event or process, often an unpleasant one, you make it happen faster or sooner.
";verb; But if he does this, he may hasten the collapse of his own country.;advance,urge,
inviolate;"If something is inviolate, it has not been or cannot be harmed or affected by anything.
";adjective; We believed our love was inviolate.;intact,whole,untouched,entire,
woe;"Woe is very great sadness.
";uncountable noun; He listened to my tale of woe.;misery,suffering,trouble,pain,problem,trouble,trial,burden,
unharmed;"If someone or something is unharmed after an accident or violent incident, they are not hurt or damaged in any way.
";adjective; The car was a write-off, but everyone escaped unharmed.;unhurt,safe,unscathed,whole,
unhurt;"If someone who has been attacked, or involved in an accident, is unhurt, they are not injured.
";adjective; The lorry driver escaped unhurt, but a pedestrian was injured.;safe,intact,unscathed,
comb;"A comb is a flat piece of plastic or metal with narrow pointed teeth along one side, which
you use to tidy your hair.
";countable noun; Salvatore combed his hair carefully.;untangle,arrange,groom,dress,search,sweep,rake,
ransack;"If people ransack a building, they damage things in it or make it very untidy, often because they are looking for something in a quick and careless way.
";verb; Demonstrators ransacked and burned the house where he was staying.;plunder,raid,loot,pillage,
cosset;"If someone is cosseted, everything possible is done for them and they are protected from anything unpleasant.
";verb; Our kind of travel is definitely not suitable for people who expect to be cosseted.;pamper,baby,pet,
humiliation;"Humiliation is the embarrassment and shame you feel when someone makes you appear stupid, or when you make a mistake in public.
";uncountable noun; She faced the humiliation of discussing her husband's affair.;embarrassment,shame,disgrace,
ignominy;"Ignominy is shame or public disgrace.
";uncountable noun; ...the ignominy of being made redundant.;disgrace,shame,humiliation,contempt,
dishonour;"If you dishonour someone, you behave in a way that damages their good reputation.
";verb; It would dishonour my family if I didn't wear the veil.;disgrace,shame,discredit,corrupt,
fret;"If you fret about something, you worry about it.
";verb; I was working all hours and constantly fretting about everyone else's problems.;worry,anguish,brood,agonize,
roguish;"If someone has a roguish expression or manner, they look as though they are about to behave badly.
";adjective; She was a mature woman with red hair and a roguish grin.;
devious;"If you describe someone as devious you do not like them because you think they are dishonest and like to keep things secret, often in a complicated way.
";adjective; Newman was devious, prepared to say one thing in print and another in private.;sly,scheming,calculating,tricky,indirect,roundabout,wandering,crooked,
squawk;"When a bird squawks, it makes a loud harsh noise.
";verb; I threw pebbles at the hens, and that made them jump and squawk.;cry,crow,screech,hoot,complain,protest,
pencil;"A pencil is an object that you write or draw with. It consists of a thin piece of wood with
a rod of a black or coloured substance through the middle. If you write or draw something in pencil, you do it using a pencil.
";countable noun; I found a pencil and some blank paper in her desk.;
enclosure;"An enclosure is an area of land that is surrounded by a wall or fence and that is used for a particular purpose.
";countable noun; This enclosure was so vast that the outermost wall could hardly be seen.;compound,yard,pen,fold,
filigree;"The word filigree is used to refer to delicate ornamental designs made with gold or silver wire.
";uncountable noun;There were more serious nods to craft too, in fine filigree lace dresses and richly embroidered pieces.;lace,lattice,
unannounced;"If someone arrives or does something unannounced, they do it unexpectedly and without anyone having being told about it beforehand.
";adjective; He had just arrived unannounced from South America.;unexpected,unforeseen,unheralded,
microbe;"A microbe is a very small living thing, which you can only see if you use a microscope.
";countable noun;Was it not the duty of the doctor to kill the microbes?;germ,
hijack;"If someone hijacks a plane or other vehicle, they illegally take control of it by force while it is travelling from one place to another.
";verb; ...a plot to hijack an airliner.;
liaison;"Liaison is co-operation and the exchange of information between different organizations or between different sections of an organization.
";uncountable noun; Liaison between police forces and the art world is vital to combat art crime.;contact,communication,connection,interchange,intermediary,contact,go-between,affair,romance,intrigue,fling,
bash;"A bash is a party or celebration, especially a large one held by an official organization or attended by famous people.
";countable noun; He threw one of the biggest showbiz bashes of the year.;party,social,at-home,hit,break,beat,strike,criticize,condemn,attempt,try,
supercilious;"If you say that someone is supercilious, you disapprove of them because they behave in a way that shows they think they are better than other people.
";adjective; His manner is supercilious and arrogant.;scornful,arrogant,contemptuous,disdainful,
patronizing;"If someone is patronizing, they speak or behave towards you in a way that seems friendly, but which shows that they think they are superior to you.
";adjective; The tone of the interview was unnecessarily patronizing .;condescending,superior,lofty,
condescending;"If you say that someone is condescending, you are showing your disapproval of the fact that they talk or behave in a way which shows that they think they are superior to other people.
";adjective; I'm fed up with your money and your whole condescending attitude.;patronizing,lordly,superior,lofty,
haughty;"You use haughty to describe someone's behaviour or appearance when you disapprove of the fact that they seem to be very proud and to think that they are better than other people.
";adjective; He spoke in a haughty tone.;proud,arrogant,lofty,high,
realization;" a realizing or being realized
";noun;His appalled realization that he was to some degree responsible for what had happened to his father was there in his face.;
reflective;"If you are reflective, you are thinking deeply about something.
";adjective; I walked on in a reflective mood to the car.;thoughtful,contemplative,meditative,pensive,
pensive;"If you are pensive, you are thinking deeply about something, especially something that worries you slightly.
";adjective; He looked suddenly sombre, pensive.;thoughtful,serious,sad,
contemplative;"Someone who is contemplative thinks deeply, or is thinking in a serious and calm way.
";adjective; Martin is a quiet, contemplative sort of chap.;thoughtful,reflective,introspective,rapt,
meditative;"Meditative describes things that are related to the act of meditating or the act of thinking very deeply about something.
";adjective; Music can induce a meditative state in the listener.;reflective,thoughtful,contemplative,studious,
fearful;"If you are fearful of something, you are afraid of it.
";adjective; Bankers were fearful of a world banking crisis.;timid,afraid,frightened,scared,very,terribly,very,terribly,
savoury;"Savoury food has a salty or spicy flavour rather than a sweet one.
";adjective; Italian cooking is best known for savoury dishes.;spicy,rich,delicious,tasty,
switch off;"If you switch off a light or other electrical device, you stop it working by operating a switch.
";phrasal verb; She switched off the coffee-machine.;
rigorous;"A test, system, or procedure that is rigorous is very thorough and strict.
";adjective; The selection process is based on rigorous tests of competence and experience.;strict,hard,firm,demanding,thorough,meticulous,painstaking,scrupulous,
steely;"Steely is used to emphasize that a person is hard, strong, and determined.
";adjective; Their indecision has been replaced by confidence and steely determination.;determined,firm,dogged,grey,
turnout;"The turnout at an event is the number of people who go to it or take part in it.
";countable noun; On the big night there was a massive turnout.;attendance,crowd,audience,gate,
congregation;"The people who are attending a church service or who regularly attend a church service
are referred to as the congregation.
";countable noun; Most members of the congregation begin arriving a few minutes before services.;host,crowd,
obligatory;"If something is obligatory, you must do it because of a rule or a law.
";adjective;" Most women will be offered an ultrasound scan during pregnancy, although it's not
obligatory.";
abridge;to reduce the length of (a written work) by condensing or rewriting;verb;To abridge a little: I worried myself into a pretty state by the autumn.;
green light;"a signal to go, esp a green traffic light
";noun;Regulators could force the companies to sell assets before giving the green light.;
borderline;"The borderline between two different or opposite things is the division between them.
";countable noun; ...a task which involves exploring the borderline between painting and photography.;divide,boundary,marginal,doubtful,peripheral,
asceticism;"Asceticism is a simple, strict way of life with no luxuries or physical pleasures.
";uncountable noun;He fell to greedily, as the tastes and the toasts went up and down the table, in a manner alien to his usual asceticism.;self-denial,austerity,rigour,celibacy,
ascetic;"An ascetic person has a way of life that is simple and strict, usually because of their religious beliefs.
";adjective; She has never been close to her ascetic, workaholic father.;severe,plain,harsh,
continent;"A continent is a very large area of land, such as Africa or Asia, that consists of several countries.
";countable noun; She loved the African continent.;
intercourse;"Intercourse is the act of having sex.
";uncountable noun; ...sexual intercourse.;contact,communication,association,
subtlety;"Subtleties are very small details or differences which are not obvious.
";countable noun; His fascination with the subtleties of human behaviour makes him a good storyteller.;refinement,nicety,sophistication,skill,acumen,ingenuity,sensitivity,diplomacy,discretion,delicacy,
gauge;"If you gauge the speed or strength of something, or if you gauge an amount, you measure or calculate it, often by using a device of some kind.
";verb; He gauged the wind at over thirty knots.;measure,calculate,evaluate,value,indicator,test,rule,standard,
fidget;"If you fidget, you keep moving your hands or feet slightly or changing your position slightly, for example because you are nervous, bored, or excited.
";verb; Brenda fidgeted in her seat.;
earthquake;"An earthquake is a shaking of the ground caused by movement of the Earth's crust.
";countable noun;Sadly it was all destroyed by an earthquake 1,500 years ago and the rubble was carted off by Ottoman invaders to build houses.;tremor,
quiver;"If something quivers, it shakes with very small movements.
";verb; Her bottom lip quivered and big tears rolled down her cheeks.;shake,tremble,shiver,quake,shake,tremble,shiver,throb,
allocation;"An allocation is an amount of something, especially money, that is given to a particular person or used for a particular purpose.
";countable noun; There will be a closer review of funding allocations for future conferences. ;allowance,share,measure,grant,assignment,allowance,rationing,allotment,
allotment;"In Britain, an allotment is a small area of land in a town which a person rents to grow plants and vegetables on.
";countable noun; His meager allotment of gas had to be saved for emergencies.;assignment,share,measure,grant,
rind;"The rind of a fruit such as a lemon or orange is its thick outer skin.
";variable noun; ...grated lemon rind.;skin,peel,
humility;"Someone who has humility is not proud and does not believe they are better than other people.
";uncountable noun; ...a deep sense of humility.;modesty,diffidence,
dam;"A dam is a wall that is built across a river in order to stop the water flowing and to make a lake.
";countable noun; ...plans to build a dam on the Danube River.;barrier,wall,barrage,obstruction,block,restrict,
blitz;"If a city or building is blitzed during a war, it is attacked by bombs dropped by enemy aircraft.
";verb;" In the autumn of 1940, London was blitzed by an average of two hundred aircraft a
night.";
canopy;"A canopy is a decorated cover, often made of cloth, which is placed above something such as a bed or a seat.
";countable noun; The trees formed such a dense canopy that all beneath was a deep carpet of pine-needles.;covering,layer,blanket,mantle,
fawn;"Fawn is a pale yellowish-brown colour.
";colour; ...a light fawn coat.;court,flatter,
tan;"If you have a tan, your skin has become darker than usual because you have been in the sun.
";singular noun; She is tall and blonde, with a permanent tan.;brown,bronze,
beige;"Something that is beige is pale brown in colour.
";colour; The walls are beige.;
downfall;"The downfall of a successful or powerful person or institution is their loss of success or power.
";countable noun; His lack of experience had led to his downfall.;ruin,fall,destruction,collapse,
nervous breakdown;"If someone has a  nervous breakdown, they become extremely depressed and cannot cope with their normal life.
";countable noun; The stress of the situation led her to have a nervous breakdown.;collapse,breakdown,
dissection;" a dissecting or being dissected
";noun;;
totter;"If someone totters somewhere, they walk there in an unsteady way, for example because they are ill or drunk.
";verb; He tottered to the fridge, got a drink and slumped at the table.;stagger,stumble,reel,sway,falter,
lurch;"To lurch means to make a sudden movement, especially forwards, in an uncontrolled way.
";verb; As the car sped over a pothole she lurched forward.;tilt,roll,pitch,list,
astounded;"If you are astounded by something, you are very shocked or surprised that it could exist or happen.
";adjective; I was astounded by its beauty.;astonished,surprised,stunned,
unforeseen;"If something that has happened was unforeseen, it was not expected to happen or known about beforehand.
";adjective; Radiation may damage cells in a way that was previously unforeseen.;unexpected,surprise,
germinate;"If a seed germinates or if it is germinated, it starts to grow.
";verb; Some seed varieties germinate fast, so check every day or so.;develop,grow,progress,generate,
ripen;"When crops ripen or when the sun ripens them, they become ripe.
";verb; I'm waiting for the apples to ripen.;mature,season,develop,
oblivious;"If you are oblivious to something or oblivious of it, you are not aware of it.
";adjective; She lay motionless where she was, oblivious to pain.;unaware,unconscious,ignorant,regardless,
brusque;"If you describe a person or their behaviour as brusque, you mean that they deal with things, or say things, quickly and shortly, so that they seem to be rude.
";adjective; The doctors are brusque and busy.;curt,short,sharp,blunt,
regurgitate;"If you say that someone is regurgitating ideas or facts, you mean that they are repeating them without understanding them properly.
";verb; You can get sick to death of a friend regurgitating her partner's opinions.;
gruesome;"Something that is gruesome is extremely unpleasant and shocking.
";adjective; There has been a series of gruesome murders in the capital.;horrific,shocking,terrible,awful,
ghastly;"If you describe someone or something as ghastly, you mean that you find them very unpleasant.
";adjective; ...a mother accompanied by her ghastly unruly child.;gruesome,shocking,terrible,terrifying,
groan;"If you groan, you make a long, low sound because you are in pain, or because you are upset or unhappy about something.
";verb; Slowly, he opened his eyes. As he did so, he began to groan with pain.;moan,cry,sigh,complain,object,grumble,
whine;"If something or someone whines, they make a long, high-pitched noise, especially one which sounds sad or unpleasant.
";verb; He could hear her dog barking and whining in the background.;cry,sob,wail,whimper,
grumble;"If someone grumbles, they complain about something in a bad-tempered way.
";verb; I shouldn't grumble about Mum–she's lovely really.;complain,
drone;"If something drones, it makes a low, continuous, dull noise.
";verb; Above him an invisible plane droned through the night sky.;hum,buzz,vibrate,monotonous,boring,tedious,parasite,idler,
hum;"If something hums, it makes a low continuous noise.
";verb; The birds sang, the bees hummed.;buzz,bustle,move,
purposely;"If you do something purposely, you do it intentionally.
";adverb; They are purposely withholding information.;expressly,
retch;"If you retch, your stomach moves as if you are vomiting.
";verb; The smell made me retch.;gag,vomit,regurgitate,
inarticulate;"If someone is inarticulate, they are unable to express themselves easily or well in speech.
";adjective; Inarticulate and rather shy, he had always dreaded speaking in public.;incoherent,incomprehensible,unintelligible,unclear,
dumbfounded;"If you are dumbfounded, you are extremely surprised by something.
";adjective; I stood there dumbfounded.;amazed,stunned,astonished,confused,
reticent;"Someone who is reticent does not tell people about things.
";adjective; She is so reticent about her achievements.;uncommunicative,reserved,secretive,silence,reserve,restraint,
run out;"If you  run out of something, you have no more of it left.
";phrasal verb; They have run out of ideas.;
villain;"A villain is someone who deliberately harms other people or breaks the law in order to get what he or she wants.
";countable noun;The striker became the villain of the piece after a challenge that provoked a shoving match.;
culprit;"When you are talking about a crime or something wrong that has been done, you can refer to the person who did it as the culprit.
";countable noun; The culprits in the robbery have not been identified.;offender,criminal,villain,sinner,
hymn;"A hymn is a religious song that Christians sing in church.
";countable noun; I like singing hymns.;anthem,paean,
chorus;"A chorus is a part of a song which is repeated after each verse.
";countable noun; Caroline sang two verses and the chorus of her song.;refrain,response,strain,burden,ensemble,
intone;"If you intone something, you say it in a slow and serious way, with most of the words at one pitch.
";verb; He quietly intoned several prayers.;chant,sing,recite,croon,
twitter;"When birds twitter, they make a lot of short high-pitched sounds.
";verb; There were birds twittering in the eucalyptus trees.;chatter,
